DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-09-10 10:41:35,2,-66.902,longitude,degree
2016-09-10 10:41:35,3,40.547,latitude,degree
2016-09-10 10:41:35,34,0,argosLC,unitless
2016-09-11 12:29:25,2,-65.565,longitude,degree
2016-09-11 12:29:25,3,41.035,latitude,degree
2016-09-11 12:29:25,34,0,argosLC,unitless
2016-09-11 14:41:40,2,-65.488,longitude,degree
2016-09-11 14:41:40,3,41.063,latitude,degree
2016-09-11 14:41:40,34,B,argosLC,unitless
2016-09-11 20:31:21,2,-65.492,longitude,degree
2016-09-11 20:31:21,3,41.065,latitude,degree
2016-09-11 20:31:21,34,B,argosLC,unitless
2016-09-11 21:39:32,2,-64.93,longitude,degree
2016-09-11 21:39:32,3,41.05,latitude,degree
2016-09-11 21:39:32,34,0,argosLC,unitless
2016-09-12 06:24:50,2,-64.545,longitude,degree
2016-09-12 06:24:50,3,40.978,latitude,degree
2016-09-12 06:24:50,34,A,argosLC,unitless
2016-09-12 08:05:11,2,-64.515,longitude,degree
2016-09-12 08:05:11,3,40.979,latitude,degree
2016-09-12 08:05:11,34,B,argosLC,unitless
2016-09-12 13:18:17,2,-64.263,longitude,degree
2016-09-12 13:18:17,3,41.069,latitude,degree
2016-09-12 13:18:17,34,A,argosLC,unitless
2016-09-12 21:12:08,2,-64.089,longitude,degree
2016-09-12 21:12:08,3,41.2,latitude,degree
2016-09-12 21:12:08,34,B,argosLC,unitless
2016-09-12 22:37:08,2,-63.702,longitude,degree
2016-09-12 22:37:08,3,41.294,latitude,degree
2016-09-12 22:37:08,34,1,argosLC,unitless
2016-09-12 23:03:29,2,-63.661,longitude,degree
2016-09-12 23:03:29,3,41.305,latitude,degree
2016-09-12 23:03:29,34,B,argosLC,unitless
2016-09-13 09:27:34,2,-62.626,longitude,degree
2016-09-13 09:27:34,3,41.412,latitude,degree
2016-09-13 09:27:34,34,B,argosLC,unitless
2016-09-13 09:33:00,2,-62.77,longitude,degree
2016-09-13 09:33:00,3,41.462,latitude,degree
2016-09-13 09:33:00,34,B,argosLC,unitless
2016-09-13 11:04:53,2,-62.919,longitude,degree
2016-09-13 11:04:53,3,41.305,latitude,degree
2016-09-13 11:04:53,34,B,argosLC,unitless
2016-09-13 12:11:31,2,-62.927,longitude,degree
2016-09-13 12:11:31,3,41.31,latitude,degree
2016-09-13 12:11:31,34,B,argosLC,unitless
